;ndvi_ne;ndvi_nw;ndvi_se;ndvi_sw;precipitation_amt_mm;reanalysis_air_temp_k;reanalysis_avg_temp_k;reanalysis_dew_point_temp_k;reanalysis_max_air_temp_k;reanalysis_min_air_temp_k;reanalysis_precip_amt_kg_per_m2;reanalysis_relative_humidity_percent;reanalysis_sat_precip_amt_mm;reanalysis_specific_humidity_g_per_kg;reanalysis_tdtr_k;station_avg_temp_c;station_diur_temp_rng_c;station_max_temp_c;station_min_temp_c;station_precip_mm
Group 1;0,06255;0,07893335;0,09264165;0,09068335;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Group 2;0,0684925955738;0,095414782459;0,153202811475;0,152523912295;55,8490163934;299,303559719;299,381147541;295,950163934;301,472131148;297,673770492;53,5045901639;81,9943793911;55,8490163934;17,3826229508;2,19742388759;27,7911007026;6,78665105386;32,437704918;23,3770491803;36,0131147541
Group 3;0,0698846799379;0,102100217764;0,173704309627;0,169705962919;13,5483229814;298,730496894;298,865794144;294,750301686;300,967701863;297,002484472;24,8544099379;78,8552617569;13,5483229814;16,1773203194;2,35252883762;27,0483584738;7,01836734694;31,8602484472;22,4968944099;18,0180124224
Group 4;0,0960313705882;0,113937745294;0,186368876471;0,172926047059;104,101176471;299,218739496;299,263865546;295,992521008;301,511764706;297,405882353;69,0158823529;82,605210084;104,101176471;17,4290756303;2,16974789916;27,6016806723;6,77226890756;32,3176470588;23,1411764706;44,6529411765
Group 5;0,165158869677;0,198009195806;0,235040958065;0,230018935484;15,594516129;298,862073733;299,011981567;294,701981567;301,222580645;296,95483871;20,7638709677;78,0552995392;15,594516129;16,1461751152;2,51889400922;27,0894009217;7,27142857143;31,9064516129;22,4258064516;15,2903225806
Group 6;0,040668751875;0,027288014375;0,16338612125;0,173552586875;6,485625;298,175535714;298,313392857;293,775803571;300,325;296,2;15,155;76,7592857143;6,485625;15,2111607143;2,5625;26,2857142857;7,83035714286;31,41875;21,25625;10,8
Group 7;0,149533333333;0,204338866667;0,317509533333;0,3276476;92,58;299,815714286;299,876190476;296,379523809;302,033333333;298,5;31,1533333333;81,6695238095;92,58;17,8404761905;2,03809523809;28,1523809524;8,28095238095;33,5;23,1666666667;15,7333333333
Group 8;0,220868333333;0,273240975;0,239312891667;0,255077983333;23,0291666667;298,423333333;298,586904762;293,824761905;301,008333333;296,025;17,225;75,9992857143;23,0291666667;15,3654761905;2,87619047619;26,4416666667;7,64285714286;31,7166666667;21,3333333333;10,2833333333
Group 9;0,0729;0,0540833333333;0,0934333333333;0,0856524;129,89;299,101904762;299,142857143;296,32;300,666666667;297,7;63,1233333333;84,7652380952;129,89;17,7895238095;1,67619047619;27,6047619047;7,52857142857;32,9666666667;22,6;50,6
Group 10;-0,0193466666667;-0,00451111133333;0,0112190466667;0,00533333333333;23,5026666667;299,226190476;299,315714286;295,267904762;301,533333333;297,36;31,5266666667;79,0413333333;23,5026666667;16,6763809524;2,34761904762;27,4866666667;7,26952380952;32,6733333333;22,8;26,28
Group 11;0,0260932405556;0,0475134261111;0,0789625672222;0,0723240427778;31,97;298,390952381;298,487698413;294,566666667;300,577777778;296,733333333;47,7016666667;79,5988095238;31,97;15,9965079365;2,2246031746;26,7595238095;6,81031746032;31,2944444444;22,2222222222;34,0833333333
Group 12;0,0253333333333;0,140125;0,1846738;0,166030933333;166,673333333;298,799047619;298,873809524;295,422857143;301,033333333;297,2;105,2;81,849047619;166,673333333;16,8852380952;2,04285714286;26,9619047619;7,31428571429;31,8333333333;22,5666666667;25,1666666667
Group 13;0,089233325;0,076077075;0,1630208325;0,15586785;165,8925;298,597857143;298,751785714;295,638214285;301,125;296,8;184,1;83,9239285714;165,8925;17,0892857143;2,425;27,0428571428;6,89285714286;31,7;22,5;64,5
Group 14;0,0;0,02845;0,1504286;0,1078167;243,55;299,482857143;299,442857143;296,88;301,3;297,6;151,7;85,69;243,55;18,4071428571;1,82857142857;27,0428571429;5,82857142857;31,7;22,8;305,9
